,year,indCode,industry,weight (%)
226,2008,11,Money,0.14085800550139377
227,2008,12,Other,0.174973923553249
228,2009,1,NoDur,0.04321803030673872
229,2009,2,Durbl,0.24538231243998593
230,2009,3,Manuf,0.09461661584288089
231,2009,4,Enrgy,0.013410843607164907
232,2009,5,Chems,0.02451097510074035
233,2009,6,BusEq,0.09531826337933459
234,2009,7,Telcm,0.022732359638600923
235,2009,8,Utils,0.02400509204635514
236,2009,9,Shops,0.09804777629207174
237,2009,10,Hlth,0.06946803207448274
238,2009,11,Money,0.16018333486254246
239,2009,12,Other,0.10910636440910144
240,2010,1,NoDur,0.019832754272701182
241,2010,2,Durbl,0.0
242,2010,3,Manuf,0.24285161218676804
243,2010,4,Enrgy,0.0740396351486672
244,2010,5,Chems,0.017492127611996984
245,2010,6,BusEq,0.20669398489021976
246,2010,7,Telcm,0.0335595089055125
247,2010,8,Utils,0.0
248,2010,9,Shops,0.06665834766263842
249,2010,10,Hlth,0.09418673171257357
250,2010,11,Money,0.1080016630165466
251,2010,12,Other,0.13668363459237542
252,2011,1,NoDur,0.049479904470575035
253,2011,2,Durbl,0.03799992899838294
254,2011,3,Manuf,0.07362346837345687
255,2011,4,Enrgy,0.14597328505118437
256,2011,5,Chems,0.030118204259205066
257,2011,6,BusEq,0.12684464336009352
258,2011,7,Telcm,0.0
259,2011,8,Utils,0.03512751105614733
260,2011,9,Shops,0.13378805016802142
261,2011,10,Hlth,0.10905818114785
262,2011,11,Money,0.1339815513983793
263,2011,12,Other,0.12400527171670406
264,2012,1,NoDur,0.0
265,2012,2,Durbl,0.08476779086407867
266,2012,3,Manuf,0.11988957017614449
267,2012,4,Enrgy,0.03909697896705354
268,2012,5,Chems,0.0
269,2012,6,BusEq,0.18916715966524228
270,2012,7,Telcm,0.0
271,2012,8,Utils,0.0
272,2012,9,Shops,0.11436662091665517
273,2012,10,Hlth,0.09987292430700738
274,2012,11,Money,0.1948804861215674
275,2012,12,Other,0.15795846898225083
276,2013,1,NoDur,0.023223462221564205
277,2013,2,Durbl,0.04613246301059731
278,2013,3,Manuf,0.08179771638240561
279,2013,4,Enrgy,0.0
280,2013,5,Chems,0.0251401780449027
281,2013,6,BusEq,0.26950688521799865
282,2013,7,Telcm,0.03445300089724529
283,2013,8,Utils,0.008777942408366978
284,2013,9,Shops,0.0
285,2013,10,Hlth,0.06603344966186174
286,2013,11,Money,0.17036545983352178
287,2013,12,Other,0.2745694423215356
288,2014,1,NoDur,0.0
289,2014,2,Durbl,0.08707106541019147
290,2014,3,Manuf,0.15543110763039814
291,2014,4,Enrgy,0.05422527322136528
292,2014,5,Chems,0.04757231306881025
293,2014,6,BusEq,0.15967249433544523
294,2014,7,Telcm,0.0
295,2014,8,Utils,0.0
296,2014,9,Shops,0.03884211724413734
297,2014,10,Hlth,0.0876127490483196
298,2014,11,Money,0.11714308061761491
299,2014,12,Other,0.2524297994237178
300,2015,1,NoDur,0.0
301,2015,2,Durbl,0.0
302,2015,3,Manuf,0.15311071766465176
303,2015,4,Enrgy,0.04286626274149532
304,2015,5,Chems,0.017458529763062194
305,2015,6,BusEq,0.18761760948693207
306,2015,7,Telcm,0.05831403038837378
307,2015,8,Utils,0.0
308,2015,9,Shops,0.06859382767583866
309,2015,10,Hlth,0.0802117804333494
310,2015,11,Money,0.10659223564236445
311,2015,12,Other,0.2852350062039324
312,2016,1,NoDur,0.01913095657653074
313,2016,2,Durbl,0.0656726591713056
314,2016,3,Manuf,0.2187160580916903
315,2016,4,Enrgy,0.0318583541559727
316,2016,5,Chems,0.11345887642994608
317,2016,6,BusEq,0.127704354610052
318,2016,7,Telcm,0.06321851306786731
319,2016,8,Utils,0.0
320,2016,9,Shops,0.03686178158995211
321,2016,10,Hlth,0.05690563531043687
322,2016,11,Money,0.10629695217976995
323,2016,12,Other,0.16017585881647606
324,2017,1,NoDur,0.0
325,2017,2,Durbl,0.019923689494737603
326,2017,3,Manuf,0.15727734725997755
327,2017,4,Enrgy,0.072314137919121
328,2017,5,Chems,0.03505484682809365
329,2017,6,BusEq,0.18693362479418235
330,2017,7,Telcm,0.0
331,2017,8,Utils,0.0
332,2017,9,Shops,0.007924190321391338
333,2017,10,Hlth,0.04212329216475517
334,2017,11,Money,0.1480663643056814
335,2017,12,Other,0.33038250691206
336,2018,1,NoDur,0.022267046338244764
337,2018,2,Durbl,0.0
338,2018,3,Manuf,0.16698023710704665
339,2018,4,Enrgy,0.0680673699982995
340,2018,5,Chems,0.0
341,2018,6,BusEq,0.1407260082568702
342,2018,7,Telcm,0.0
343,2018,8,Utils,0.0
344,2018,9,Shops,0.037912225602333746
345,2018,10,Hlth,0.14410096866697247
346,2018,11,Money,0.1643042772958716
347,2018,12,Other,0.25564186673436107
348,2019,1,NoDur,0.024338425971336716
349,2019,2,Durbl,0.020163803971343652
350,2019,3,Manuf,0.0848202606764963
351,2019,4,Enrgy,0.06177567853442585
352,2019,5,Chems,0.03581688150710765
353,2019,6,BusEq,0.21629094664715381
354,2019,7,Telcm,0.038500265411763754
355,2019,8,Utils,0.0
356,2019,9,Shops,0.04838621880842936
357,2019,10,Hlth,0.0907451172988894
358,2019,11,Money,0.07472775896281897
359,2019,12,Other,0.3044346422102348
360,2020,1,NoDur,0.0
361,2020,2,Durbl,0.013488553715002856
362,2020,3,Manuf,0.0866601835807953
363,2020,4,Enrgy,0.012309426236491913
364,2020,5,Chems,0.048173471988901095
365,2020,6,BusEq,0.23489925172012524
366,2020,7,Telcm,0.03155251307198201
367,2020,8,Utils,0.0
368,2020,9,Shops,0.08006863561216308
369,2020,10,Hlth,0.13200051156900974
370,2020,11,Money,0.06753633441476613
371,2020,12,Other,0.2933111180907626
