,permno,permco,namedt,nameendt,jdate,me,month,year,beta,lagbeta,ranklagbeta,lagbetaq,annRet,annRet10,volRank,wret,comnam,industry,indDesc,wt_delta,tot_delta,ew_wt
1002,11403,9245,2019-09-12,2021-09-30,2020-12-31,38060420.7767334,12,2020,1.093144450971821,1.499732538918416,1305.0,4,0.9669693427811372,0.8597218303825491,50.0,0.019339386855622746,CADENCE DESIGN SYSTEMS INC,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",0.03933938685562274,1.346315882908383,0.02922002730194322
1003,11581,323,2020-01-29,2021-09-30,2020-12-31,1352665.8965148923,12,2020,1.143430154555455,1.4716271809465598,1262.0,4,-0.12949341730612396,-0.10508267248524528,7.0,-0.002589868346122479,ENERPAC TOOL GROUP CORP,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",0.01741013165387752,1.346315882908383,0.012931684068279155
1004,12570,20964,2020-11-18,2021-09-30,2020-12-31,6654527.7099609375,12,2020,1.2399058070606972,1.477332582368897,1274.0,4,0.05422943150385029,0.07177682144161768,19.0,0.0010845886300770058,I T T INC,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",0.021084588630077006,1.346315882908383,0.01566095215673231
1005,12641,53705,2014-01-09,2021-09-30,2020-12-31,5054062.971664429,12,2020,1.5299275906826786,1.4740862933113297,1265.0,4,-0.0434317742473872,-0.03999802181785938,10.0,-0.000868635484947744,AIR LEASE CORP,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",0.019131364515052256,1.346315882908383,0.014210160303333618
1006,13447,54109,2019-11-21,2021-09-30,2020-12-31,107388891.57104492,12,2020,1.029736887353437,1.4880655745759863,1288.0,4,0.949658733978178,0.8389894667081654,33.0,0.01899317467956356,SERVICENOW INC,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",0.038993174679563564,1.346315882908383,0.02896287206783035
1007,13621,54207,2017-01-03,2021-09-30,2020-12-31,411282.3691749573,12,2020,1.0992691812240152,1.4894617635023149,1292.0,4,0.17256472368261866,0.18066171365693215,37.0,0.003451294473652373,PUMA BIOTECHNOLOGY INC,Hlth,"Healthcare, Medical Equipment, and Drugs",0.023451294473652375,1.346315882908383,0.017418864897435247
1008,14231,54595,2013-10-16,2021-09-30,2020-12-31,37127277.0,12,2020,0.8228734611104381,1.489988435960511,1293.0,4,0.9355167637796706,0.8683048544004526,38.0,0.018710335275593414,VEEVA SYSTEMS INC,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",0.038710335275593415,1.346315882908383,0.028752788084152506
1009,14441,54725,2019-08-12,2021-09-01,2020-12-31,208367.72878837585,12,2020,1.109506573071381,1.4767121343211431,1270.0,4,0.4193497064384819,0.5172350736462505,15.0,0.008386994128769639,SHARPSPRING INC,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",0.02838699412876964,1.346315882908383,0.02108494335478428
1010,14580,54813,2020-07-01,2021-09-30,2020-12-31,3549154.594192505,12,2020,1.4684412117010166,1.4890368854997722,1290.0,4,2.7634720464134617,1.9275457453774385,35.0,0.055269440928269235,MAGNITE INC,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",0.07526944092826923,1.346315882908383,0.055907712212135675
1011,14596,54820,2014-04-04,2021-03-28,2020-12-31,11594111.59423828,12,2020,0.6954352799257999,1.4684581253201758,1257.0,4,1.6593329916608013,1.44925370250638,2.0,0.033186659833216024,FIVE 9 INC,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",0.05318665983321603,1.346315882908383,0.03950533489831479
1012,14641,54851,2019-08-05,2021-09-30,2020-12-31,16698811.670288084,12,2020,1.0752533536460511,1.473609898929112,1263.0,4,0.8676821379196726,0.7634368234191959,8.0,0.017353642758393455,ZENDESK INC,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",0.03735364275839345,1.346315882908383,0.027745080654994675
1013,15071,55113,2019-09-17,2021-09-30,2020-12-31,7081091.2645339975,12,2020,1.2970102969307082,1.4691415809912496,1259.0,4,0.1455213857082629,0.13644596961928526,4.0,0.002910427714165258,SYNEOS HEALTH INC,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",0.02291042771416526,1.346315882908383,0.017017126519129327
1014,15429,55313,2015-06-25,2021-09-30,2020-12-31,902143.7346935272,12,2020,1.0797960476657598,1.4753106688219881,1269.0,4,-0.3422679996063089,-0.2816783204458663,14.0,-0.006845359992126178,LANTHEUS HOLDINGS INC,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",0.013154640007873822,1.346315882908383,0.009770842173722611
1015,15482,55337,2019-09-03,2021-09-30,2020-12-31,3214591.038703919,12,2020,1.4263276751540659,1.4978086522188028,1301.0,4,-0.21575816307697804,-0.2029335115254608,46.0,-0.004315163261539561,UNIVAR SOLUTIONS INC,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",0.01568483673846044,1.346315882908383,0.011650190670392467
1016,15533,55364,2019-09-12,2021-03-09,2020-12-31,1449330.9017047884,12,2020,1.1668825818675694,1.4926456601510891,1297.0,4,2.5171673835077866,2.8304749009352177,42.0,0.05034334767015573,NANTKWEST INC,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",0.07034334767015574,1.346315882908383,0.05224876907653819
1017,15638,55393,2019-08-02,2021-09-30,2020-12-31,2680802.465003968,12,2020,1.2221885899598817,1.4791008681207145,1277.0,4,-0.4551502404583144,-0.4832344866739113,22.0,-0.00910300480916629,GLOBAL BLOOD THERAPEUTICS INC,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",0.010896995190833711,1.346315882908383,0.008093936444761718
1018,17374,56308,2018-03-15,2021-09-30,2020-12-31,1685401.0205612185,12,2020,1.0417990237957546,1.479023213085398,1276.0,4,1.5703104647712114,1.5501100369789391,21.0,0.03140620929542423,ARCUS BIOSCIENCES INC,Hlth,"Healthcare, Medical Equipment, and Drugs",0.05140620929542423,1.346315882908383,0.038182873683680986
1019,17787,56352,2020-01-14,2021-09-30,2020-12-31,11379463.627853395,12,2020,1.5808099317131799,1.4860431926270954,1286.0,4,0.0657477692844477,0.02361356952202498,31.0,0.0013149553856889541,EQUITABLE HOLDINGS INC,Money,Finance,0.021314955385688953,1.346315882908383,0.015832061150198463
1020,17899,56421,2018-06-28,2021-09-13,2020-12-31,1382802.9228973386,12,2020,0.4238037710367586,1.4737738327930905,1264.0,4,1.2641080188138516,1.258557389408426,9.0,0.025282160376277032,TRANSLATE BIO INC,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",0.04528216037627703,1.346315882908383,0.033634127734166
1021,17906,56427,2018-06-15,2021-09-30,2020-12-31,292825.9158229828,12,2020,1.6836145171250558,1.4701006295973442,1260.0,4,-0.2756495850578168,-0.2083957764364599,5.0,-0.005512991701156335,VERRICA PHARMACEUTICALS INC,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",0.014487008298843664,1.346315882908383,0.01076048235243876
1022,18142,56539,2018-10-29,2021-09-30,2020-12-31,3041136.7327404027,12,2020,1.1271469875357385,1.4906943853471049,1294.0,4,0.7820605242215937,0.8264592890499749,39.0,0.015641210484431872,RESIDEO TECHNOLOGIES INC,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",0.035641210484431876,1.346315882908383,0.026473141212178114
1023,18428,56668,2019-12-23,2021-09-30,2020-12-31,41167236.0,12,2020,1.3152274446683323,1.4772456803912315,1272.0,4,0.08012750768030319,0.13269495570419676,17.0,0.0016025501536060637,DOW INC,Chems,Chemicals and Allied Products,0.021602550153606064,1.346315882908383,0.01604567726478803
1024,27633,21541,2020-02-28,2021-04-27,2020-12-31,3328184.5495491032,12,2020,1.1847406333675459,1.4834814550908035,1283.0,4,0.20326790192064026,0.2162570361291687,28.0,0.004065358038412805,RYDER SYSTEMS INC,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",0.024065358038412806,1.346315882908383,0.017874971501060762
1025,31500,1451,2020-05-22,2021-02-26,2020-12-31,7757402.244850159,12,2020,1.384828072598814,1.4769566890723078,1271.0,4,0.6046430410667303,0.5806064285644879,16.0,0.012092860821334607,EATON VANCE CORP,Money,Finance,0.032092860821334605,1.346315882908383,0.02383754156714389
1026,45728,7029,2006-06-30,2021-09-30,2020-12-31,307987.39343643194,12,2020,1.3615804441778048,1.4686743245528382,1258.0,4,-0.004449762195060658,0.014449225926203456,3.0,-8.899524390121316e-05,INVACARE CORP,Hlth,"Healthcare, Medical Equipment, and Drugs",0.019911004756098787,1.346315882908383,0.01478925191990306
1027,46690,20374,2012-05-02,2021-09-30,2020-12-31,2540208.0604553227,12,2020,1.278806552728854,1.4997047565871044,1304.0,4,-0.020808256946757142,0.02176450161381549,49.0,-0.0004161651389351429,CABOT CORP,Chems,Chemicals and Allied Products,0.019583834861064856,1.346315882908383,0.014546240677751508
