,year,sp_ret,port_ret,port_ret10,1+sp_ret,1+port_ret,1+port_ret10,total_sp_ret,total_port_ret,total_port_ret10,ab_ret,ab_ret10
0,2010.0,0.12782706172230718,0.3693508738618777,0.2598667843686947,1.1278270617223072,1.3693508738618778,1.2598667843686946,12.783,36.935,25.98667843686946,0.24152381213957053,0.13203972264638753
1,2011.0,-3.185201602995402e-05,-0.1585354869265,-0.1537882072855945,0.99996814798397,0.8414645130735,0.8462117927144055,12.779,15.226,6.611413018196632,-0.15850363491047004,-0.15375635526956455
2,2012.0,0.13405691505961048,0.2023137644390399,0.1484349959565579,1.1340569150596105,1.2023137644390398,1.1484349959565578,27.898,38.538,22.43627767847556,0.06825684937942941,0.01437808089694742
3,2013.0,0.29601250047189054,0.5261809874917872,0.4777434904594765,1.2960125004718905,1.526180987491787,1.4777434904594764,65.757,111.434,80.92941233545613,0.23016848701989667,0.18173098998758597
4,2014.0,0.11390638964265132,0.0881002610186962,0.0861787508090284,1.1139063896426513,1.0881002610186963,1.0861787508090284,84.638,130.061,96.52168307513736,-0.02580612862395512,-0.02772763883362292
5,2015.0,-0.007266017033153438,-0.0225441167380128,-0.0192014081715104,0.9927339829668466,0.9774558832619872,0.9807985918284896,83.297,124.875,92.74819002385944,-0.015278099704859362,-0.011935391138356961
6,2016.0,0.09535011363604262,0.1582215466953318,0.300727200714885,1.0953501136360426,1.1582215466953318,1.300727200714885,100.774,160.455,150.7128136525954,0.06287143305928919,0.2053770870788424
7,2017.0,0.1941996696361683,0.31965556842305,0.2853895315678245,1.1941996696361683,1.31965556842305,1.2853895315678245,139.764,243.71,222.26362609896086,0.12545589878688168,0.09118986193165618
8,2018.0,-0.06237260721622695,-0.1814154050022016,-0.209082916148497,0.937627392783773,0.8185845949977983,0.7909170838515029,124.809,181.356,154.88380738560124,-0.11904279778597465,-0.14671030893227005
9,2019.0,0.28878073884163524,0.3553486649786416,0.3121365952308442,1.2887807388416352,1.3553486649786417,1.3121365952308441,189.73,281.336,234.44237120241712,0.06656792613700635,0.02335585638920895
10,2020.0,0.16258921060751153,0.4647820508695627,0.4137851429478161,1.1625892106075115,1.4647820508695628,1.413785142947816,236.837,458.574,372.8296555782158,0.3021928402620512,0.2511959323403046
