,year,indCode,industry,weight (%)
179,2004,12,Other,2.036
180,2005,1,NoDur,0.0
181,2005,2,Durbl,0.0
182,2005,3,Manuf,14.046
183,2005,4,Enrgy,0.606
184,2005,5,Chems,0.0
185,2005,6,BusEq,78.568
186,2005,7,Telcm,0.648
187,2005,8,Utils,0.0
188,2005,9,Shops,2.086
189,2005,10,Hlth,1.163
190,2005,11,Money,0.697
191,2005,12,Other,2.186
192,2006,1,NoDur,0.0
193,2006,2,Durbl,18.573
194,2006,3,Manuf,9.454
195,2006,4,Enrgy,8.257
196,2006,5,Chems,0.0
197,2006,6,BusEq,6.315
198,2006,7,Telcm,0.0
199,2006,8,Utils,0.0
200,2006,9,Shops,10.746
201,2006,10,Hlth,34.852
202,2006,11,Money,6.128
203,2006,12,Other,5.674
204,2007,1,NoDur,1.381
205,2007,2,Durbl,1.668
206,2007,3,Manuf,2.591
207,2007,4,Enrgy,7.135
208,2007,5,Chems,12.466
209,2007,6,BusEq,38.168
210,2007,7,Telcm,0.0
211,2007,8,Utils,0.0
212,2007,9,Shops,1.601
213,2007,10,Hlth,9.411
214,2007,11,Money,19.538
215,2007,12,Other,6.043
216,2008,1,NoDur,0.0
217,2008,2,Durbl,2.925
218,2008,3,Manuf,4.283
219,2008,4,Enrgy,4.131
220,2008,5,Chems,0.0
221,2008,6,BusEq,14.529
222,2008,7,Telcm,4.65
223,2008,8,Utils,0.0
224,2008,9,Shops,3.854
225,2008,10,Hlth,3.467
226,2008,11,Money,58.643
227,2008,12,Other,3.518
228,2009,1,NoDur,5.122
229,2009,2,Durbl,0.414
230,2009,3,Manuf,6.75
231,2009,4,Enrgy,1.049
232,2009,5,Chems,5.392
233,2009,6,BusEq,36.628
234,2009,7,Telcm,2.934
235,2009,8,Utils,1.079
236,2009,9,Shops,4.06
237,2009,10,Hlth,1.02
238,2009,11,Money,31.609
239,2009,12,Other,3.942
240,2010,1,NoDur,0.224
241,2010,2,Durbl,0.0
242,2010,3,Manuf,14.665
243,2010,4,Enrgy,8.083
244,2010,5,Chems,36.236
245,2010,6,BusEq,11.351
246,2010,7,Telcm,1.464
247,2010,8,Utils,0.0
248,2010,9,Shops,4.009
249,2010,10,Hlth,1.244
250,2010,11,Money,1.894
251,2010,12,Other,20.83
252,2011,1,NoDur,1.596
253,2011,2,Durbl,3.404
254,2011,3,Manuf,3.886
255,2011,4,Enrgy,37.003
256,2011,5,Chems,1.044
257,2011,6,BusEq,2.008
258,2011,7,Telcm,0.0
259,2011,8,Utils,0.755
260,2011,9,Shops,2.923
261,2011,10,Hlth,1.378
262,2011,11,Money,39.942
263,2011,12,Other,6.061
264,2012,1,NoDur,0.0
265,2012,2,Durbl,6.726
266,2012,3,Manuf,22.797
267,2012,4,Enrgy,4.008
268,2012,5,Chems,0.0
269,2012,6,BusEq,16.872
270,2012,7,Telcm,0.0
271,2012,8,Utils,0.0
272,2012,9,Shops,1.825
273,2012,10,Hlth,1.609
274,2012,11,Money,15.959
275,2012,12,Other,30.205
276,2013,1,NoDur,0.808
277,2013,2,Durbl,2.162
278,2013,3,Manuf,5.0
279,2013,4,Enrgy,0.0
280,2013,5,Chems,2.756
281,2013,6,BusEq,27.129
282,2013,7,Telcm,0.497
283,2013,8,Utils,0.243
284,2013,9,Shops,0.0
285,2013,10,Hlth,5.671
286,2013,11,Money,28.536
287,2013,12,Other,27.199
288,2014,1,NoDur,0.0
289,2014,2,Durbl,31.262
290,2014,3,Manuf,4.756
291,2014,4,Enrgy,9.104
292,2014,5,Chems,19.942
293,2014,6,BusEq,4.011
294,2014,7,Telcm,0.0
295,2014,8,Utils,0.0
296,2014,9,Shops,0.852
297,2014,10,Hlth,8.449
298,2014,11,Money,5.768
299,2014,12,Other,15.855
300,2015,1,NoDur,0.0
301,2015,2,Durbl,0.0
302,2015,3,Manuf,33.367
303,2015,4,Enrgy,10.778
304,2015,5,Chems,1.763
305,2015,6,BusEq,10.158
306,2015,7,Telcm,1.764
307,2015,8,Utils,0.0
308,2015,9,Shops,10.926
309,2015,10,Hlth,4.197
310,2015,11,Money,3.839
311,2015,12,Other,23.209
312,2016,1,NoDur,0.289
313,2016,2,Durbl,16.006
314,2016,3,Manuf,21.015
315,2016,4,Enrgy,0.316
316,2016,5,Chems,5.908
317,2016,6,BusEq,9.406
318,2016,7,Telcm,0.559
319,2016,8,Utils,0.0
320,2016,9,Shops,0.794
321,2016,10,Hlth,4.108
322,2016,11,Money,17.137
323,2016,12,Other,24.463
324,2017,1,NoDur,0.0
325,2017,2,Durbl,2.286
326,2017,3,Manuf,7.889
327,2017,4,Enrgy,6.414
328,2017,5,Chems,1.177
329,2017,6,BusEq,26.692
330,2017,7,Telcm,0.0
331,2017,8,Utils,0.0
332,2017,9,Shops,0.135
333,2017,10,Hlth,0.714
334,2017,11,Money,32.699
335,2017,12,Other,21.994
336,2018,1,NoDur,0.075
337,2018,2,Durbl,0.0
338,2018,3,Manuf,11.768
339,2018,4,Enrgy,1.684
340,2018,5,Chems,0.0
341,2018,6,BusEq,15.933
342,2018,7,Telcm,0.0
343,2018,8,Utils,0.0
344,2018,9,Shops,4.287
345,2018,10,Hlth,2.606
346,2018,11,Money,19.316
347,2018,12,Other,44.332
348,2019,1,NoDur,0.402
349,2019,2,Durbl,0.596
350,2019,3,Manuf,8.433
351,2019,4,Enrgy,2.164
352,2019,5,Chems,1.855
