,permno,permco,shrcd,exchcd,jdate,beta,comnam,cusip,ticker,siccd,sicdate,indCode,industry,indDesc,enddate
264,23393,1103,11,1,00:00.0,0.273496424,CHURCH & DWIGHT INC,17134010,CHD,2841,00:00.0,5,Chems,Chemicals and Allied Products,39:15.5
272,52090,2801,11,1,00:00.0,0.278350395,MCCORMICK & CO INC,57978020,MKC,2099,00:00.0,1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",39:15.5
280,77453,25865,11,3,00:00.0,0.281856351,JACK IN THE BOX INC,46636710,JACK,5812,00:00.0,9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",39:15.5
281,15859,55493,11,1,00:00.0,0.288061185,AVANGRID INC,05351W10,AGR,4911,00:00.0,8,Utils,Utilities,39:15.5
293,57913,3133,11,3,00:00.0,0.290970032,VAXART INC,92243A20,VXRT,5120,00:00.0,9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",39:15.5
294,18940,56886,11,3,00:00.0,0.301769246,PELOTON INTERACTIVE INC,70614W10,PTON,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
307,21776,21396,11,3,00:00.0,0.306156558,EXELON CORP,30161N10,EXC,4911,00:00.0,8,Utils,Utilities,39:15.5
308,15724,55428,11,1,00:00.0,0.307461199,PERFORMANCE FOOD GROUP CO,71377A10,PFGC,5141,00:00.0,9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",39:15.5
315,23712,21458,11,1,00:00.0,0.30763024,PUBLIC SERVICE ENTERPRISE GP INC,74457310,PEG,4931,00:00.0,8,Utils,Utilities,39:15.5
321,58334,3306,11,1,00:00.0,0.310720361,NORTHWEST NATURAL HOLDING CO,66765N10,NWN,4924,00:00.0,8,Utils,Utilities,39:15.5
329,67360,21835,11,1,00:00.0,0.314483983,UNITIL CORP,91325910,UTL,4931,00:00.0,8,Utils,Utilities,39:15.5
337,24969,21890,11,1,00:00.0,0.315269362,AVISTA CORP,05379B10,AVA,4911,00:00.0,8,Utils,Utilities,39:15.5
340,15785,55394,11,3,00:00.0,0.327415706,HOSTESS BRANDS INC,44109J10,TWNK,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
343,46578,20463,11,1,00:00.0,0.329423516,CLOROX CO,18905410,CLX,2842,00:00.0,5,Chems,Chemicals and Allied Products,39:15.5
345,91977,45679,11,1,00:00.0,0.329503751,B & G FOODS INC NEW,05508R10,BGS,2033,00:00.0,1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",39:15.5
356,24440,21328,11,1,00:00.0,0.335790048,O G E ENERGY CORP,67083710,OGE,4932,00:00.0,8,Utils,Utilities,39:15.5
357,18222,56576,11,1,00:00.0,0.335958864,BAIN CAPITAL SPECIALTY FIN INC,05684B10,BCSF,6722,00:00.0,11,Money,Finance,39:15.5
364,54199,21545,11,1,00:00.0,0.338095361,S J W GROUP,78430510,SJW,4941,00:00.0,8,Utils,Utilities,39:15.5
369,86136,34798,11,1,00:00.0,0.347503205,SEMPRA ENERGY,81685110,SRE,4612,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
372,85726,15916,11,3,00:00.0,0.348673659,DENNYS CORP,24869P10,DENN,5810,00:00.0,9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",39:15.5
376,88568,38463,11,3,00:00.0,0.352169159,SPARTANNASH CO,84721510,SPTN,5140,00:00.0,9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",39:15.5
378,18735,56774,11,3,00:00.0,0.352214475,GROCERY OUTLET HOLDING CORP,39874R10,GO,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
379,16431,55778,11,1,00:00.0,0.354734878,LAMB WESTON HOLDINGS INC,51327210,LW,2038,00:00.0,1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",39:15.5
384,90458,3309,11,1,00:00.0,0.360281319,NORTHWESTERN CORP,66807430,NWE,4911,00:00.0,8,Utils,Utilities,39:15.5
392,61946,511,11,1,00:00.0,0.362098334,BLACK HILLS CORP,9211310,BKH,4911,00:00.0,8,Utils,Utilities,39:15.5
394,18915,56879,11,3,00:00.0,0.363103768,CERENCE INC,15672710,CRNC,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
395,18832,56824,11,3,00:00.0,0.363273441,CASTLE BIOSCIENCES INC,14843C10,CSTL,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
402,17144,20798,11,1,00:00.0,0.363836328,GENERAL MILLS INC,37033410,GIS,2041,00:00.0,1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",39:15.5
408,11587,392,11,3,00:00.0,0.364751937,ATRION CORP,4990410,ATRI,4920,00:00.0,8,Utils,Utilities,39:15.5
416,67847,3914,11,3,00:00.0,0.369886113,ROYAL GOLD INC,78028710,RGLD,6795,00:00.0,11,Money,Finance,39:15.5
420,10026,7976,11,3,00:00.0,0.370172496,J & J SNACK FOODS CORP,46603210,JJSF,2052,00:00.0,1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",39:15.5
436,21792,20939,11,1,00:00.0,0.374436722,CENTERPOINT ENERGY INC,15189T10,CNP,4911,00:00.0,8,Utils,Utilities,39:15.5
438,15585,55379,11,1,00:00.0,0.376353684,TELADOC HEALTH INC,87918A10,TDOC,7363,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
445,65875,20288,11,1,00:00.0,0.381122478,VERIZON COMMUNICATIONS INC,92343V10,VZ,4813,00:00.0,7,Telcm,Telephone and Television Transmission,39:15.5
447,18480,56687,11,3,00:00.0,0.385740151,TRADEWEB MARKETS INC,89267210,TW,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
449,14401,54702,11,1,00:00.0,0.392381854,ONE GAS INC,68235P10,OGS,4924,00:00.0,8,Utils,Utilities,39:15.5
450,16084,55582,11,1,00:00.0,0.392393609,US FOODS HOLDING CORP,91200810,USFD,5149,00:00.0,9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",39:15.5
454,14045,54407,11,3,00:00.0,0.393298168,LINDBLAD EXPEDITIONS HLDS INC,53521910,LIND,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
461,55511,21457,11,1,00:00.0,0.395917052,P N M RESOURCES INC,69349H10,PNM,3612,00:00.0,3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",39:15.5
467,25320,20384,11,1,00:00.0,0.398992596,CAMPBELL SOUP CO,13442910,CPB,2038,00:00.0,1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",39:15.5
477,38762,21244,11,1,00:00.0,0.402807936,NISOURCE INC,65473P10,NI,4939,00:00.0,8,Utils,Utilities,39:15.5
479,18771,56788,11,3,00:00.0,0.405526267,CHANGE HEALTHCARE INC,15912K10,CHNG,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
485,89626,43791,11,3,00:00.0,0.408519457,C M E GROUP INC,12572Q10,CME,6200,00:00.0,11,Money,Finance,39:15.5
487,18191,56557,11,3,00:00.0,0.408821677,BANK FIRST CORP,06211J10,BFC,9999,00:00.0,12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",39:15.5
495,50789,2847,11,3,00:00.0,0.413511825,M G E ENERGY INC,55277P10,MGEE,4931,00:00.0,8,Utils,Utilities,39:15.5
501,43449,21177,11,1,00:00.0,0.415063594,MCDONALDS CORP,58013510,MCD,5812,00:00.0,9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",39:15.5
509,32870,20932,11,1,00:00.0,0.417651764,HORMEL FOODS CORP,44045210,HRL,2011,00:00.0,1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",39:15.5
520,42585,21629,11,1,00:00.0,0.42624847,SMUCKER J M CO,83269640,SJM,2099,00:00.0,1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",39:15.5
524,90961,47887,11,3,00:00.0,0.426290111,WATERSTONE FINANCIAL INC NEW,94188P10,WSBF,6035,00:00.0,11,Money,Finance,39:15.5
536,12781,21080,11,1,00:00.0,0.432306239,SPIRE INC,84857L10,SR,4939,00:00.0,8,Utils,Utilities,39:15.5
